timestamp_iso,frame_time_ms,fps,allocated_memory_mb,reserved_memory_mb,mono_used_mb
2026-05-09T16:03:39.411,333.33,3.0,274.77,416.02,13.44
2026-05-09T16:03:39.711,14.43,69.3,274.77,416.02,13.50
2026-05-09T16:03:40.218,14.55,68.7,274.77,416.02,12.76
2026-05-09T16:03:40.719,15.35,65.1,274.74,416.02,12.82
2026-05-09T16:03:41.207,13.04,76.7,274.74,416.02,12.89
2026-05-09T16:03:41.710,13.48,74.2,274.74,416.02,12.98
2026-05-09T16:03:42.209,14.02,71.3,274.74,416.02,13.07
2026-05-09T16:03:42.709,12.70,78.8,274.75,416.02,13.16
2026-05-09T16:03:43.208,12.13,82.4,274.75,416.02,13.26
2026-05-09T16:03:43.709,13.38,74.7,274.75,416.02,13.37
2026-05-09T16:03:44.211,13.15,76.0,274.75,416.02,13.48
2026-05-09T16:03:44.710,13.47,74.2,274.75,416.02,13.60
2026-05-09T16:03:45.212,14.98,66.8,274.75,416.02,13.73
2026-05-09T16:03:45.708,16.48,60.7,274.74,416.02,13.85
2026-05-09T16:03:46.210,15.52,64.4,274.74,416.02,13.98
2026-05-09T16:03:46.708,16.11,62.1,274.74,416.02,14.13
2026-05-09T16:03:47.209,14.58,68.6,274.74,416.02,14.27
2026-05-09T16:03:47.710,14.85,67.3,274.74,416.02,14.42
2026-05-09T16:03:48.211,14.77,67.7,274.74,416.02,12.77
2026-05-09T16:03:48.712,15.72,63.6,274.74,416.02,12.82
2026-05-09T16:03:49.212,16.23,61.6,274.74,416.02,12.90
2026-05-09T16:03:49.710,13.63,73.4,274.75,416.02,12.99
2026-05-09T16:03:50.208,13.04,76.7,274.75,416.02,13.09
2026-05-09T16:03:50.709,14.38,69.6,274.75,416.02,13.18
2026-05-09T16:03:51.212,14.49,69.0,274.75,416.02,13.28
2026-05-09T16:03:51.717,14.37,69.6,274.74,416.02,13.37
2026-05-09T16:03:52.216,14.78,67.7,274.74,416.02,13.49
2026-05-09T16:03:52.709,12.66,79.0,274.74,416.02,13.62
2026-05-09T16:03:53.209,12.21,81.9,274.74,416.02,13.74
2026-05-09T16:03:53.711,13.42,74.5,274.74,416.02,13.86
2026-05-09T16:03:54.212,13.93,71.8,274.74,416.02,13.99
2026-05-09T16:03:54.714,13.72,72.9,274.74,416.02,14.14
2026-05-09T16:03:55.216,13.20,75.8,274.74,416.02,14.28
2026-05-09T16:03:55.713,13.95,71.7,274.75,416.02,14.42
2026-05-09T16:03:56.211,13.48,74.2,274.75,416.02,14.57
2026-05-09T16:03:56.711,13.32,75.1,274.75,416.02,12.81
2026-05-09T16:03:57.212,13.21,75.7,274.75,416.02,12.89
2026-05-09T16:03:57.713,13.24,75.5,274.75,416.02,12.96
2026-05-09T16:03:58.211,13.96,71.6,274.75,416.02,13.06
2026-05-09T16:03:58.709,11.75,85.1,274.75,416.02,13.14
2026-05-09T16:03:59.213,12.84,77.9,274.74,416.02,13.24
2026-05-09T16:03:59.718,14.21,70.4,274.74,416.02,13.34
2026-05-09T16:04:00.215,14.27,70.1,274.74,416.02,13.46
2026-05-09T16:04:00.714,13.51,74.0,274.74,416.02,13.58
2026-05-09T16:04:01.214,14.00,71.4,274.74,416.02,13.71
2026-05-09T16:04:01.714,13.34,75.0,274.74,416.02,13.82
2026-05-09T16:04:02.215,13.32,75.1,274.74,416.02,13.95
2026-05-09T16:04:02.710,14.80,67.6,274.74,416.02,14.10
2026-05-09T16:04:03.211,14.00,71.4,274.74,416.02,14.25
2026-05-09T16:04:03.713,14.15,70.7,274.74,416.02,14.39
2026-05-09T16:04:04.217,12.89,77.6,274.74,416.02,14.54
2026-05-09T16:04:04.711,14.44,69.3,274.74,416.02,12.83
2026-05-09T16:04:05.212,15.42,64.8,274.74,416.02,12.90
2026-05-09T16:04:05.714,13.63,73.4,274.74,416.02,12.97
2026-05-09T16:04:06.214,13.28,75.3,274.74,416.02,13.07
2026-05-09T16:04:06.715,13.87,72.1,274.74,416.02,13.16
2026-05-09T16:04:07.216,14.91,67.1,274.74,416.02,13.25
2026-05-09T16:04:07.716,14.06,71.1,274.74,416.02,13.36
2026-05-09T16:04:08.213,15.39,65.0,274.74,416.02,13.46
2026-05-09T16:04:08.711,13.53,73.9,274.74,416.02,13.59
2026-05-09T16:04:09.212,14.65,68.2,274.74,416.02,13.71
2026-05-09T16:04:09.714,14.04,71.2,274.74,416.02,13.86
2026-05-09T16:04:10.215,15.14,66.1,274.74,416.02,13.98
2026-05-09T16:04:10.714,13.42,74.5,274.74,416.02,14.13
2026-05-09T16:04:11.213,12.45,80.3,274.74,416.02,14.28
2026-05-09T16:04:11.713,13.50,74.1,274.74,416.02,14.42
2026-05-09T16:04:12.215,13.46,74.3,274.74,416.02,12.80
2026-05-09T16:04:12.712,13.91,71.9,274.74,416.02,12.85
2026-05-09T16:04:13.210,13.81,72.4,274.74,416.02,12.93
2026-05-09T16:04:13.711,14.12,70.8,274.74,416.02,13.00
2026-05-09T16:04:14.213,14.44,69.3,274.74,416.02,13.10
2026-05-09T16:04:14.717,12.04,83.1,274.75,416.02,13.19
2026-05-09T16:04:15.211,13.67,73.2,274.75,416.02,13.28
2026-05-09T16:04:15.711,14.28,70.0,274.75,416.02,13.38
2026-05-09T16:04:16.211,14.20,70.4,274.75,416.02,13.48
2026-05-09T16:04:16.714,14.16,70.6,274.75,416.02,13.61
2026-05-09T16:04:17.217,12.68,78.9,274.74,416.02,13.73
2026-05-09T16:04:17.718,14.64,68.3,274.74,416.02,13.86
2026-05-09T16:04:18.218,14.32,69.8,274.74,416.02,13.98
2026-05-09T16:04:18.717,12.50,80.0,274.75,416.02,14.12
2026-05-09T16:04:19.211,13.72,72.9,274.74,416.02,14.27
2026-05-09T16:04:19.709,13.75,72.7,274.74,416.02,14.41
2026-05-09T16:04:20.211,14.06,71.1,274.74,416.02,14.55
2026-05-09T16:04:20.712,15.03,66.5,274.74,416.02,12.84
2026-05-09T16:04:21.214,13.82,72.4,274.75,416.02,12.91
2026-05-09T16:04:21.714,14.12,70.8,274.75,416.02,12.98
2026-05-09T16:04:22.215,14.08,71.0,274.75,416.02,13.07
2026-05-09T16:04:22.717,13.75,72.7,274.75,416.02,13.16
2026-05-09T16:04:23.214,14.40,69.5,274.75,416.02,13.26
2026-05-09T16:04:23.714,14.01,71.4,274.75,416.02,13.36
2026-05-09T16:04:24.216,13.09,76.4,274.75,416.02,13.46
2026-05-09T16:04:24.713,13.73,72.8,274.75,416.02,13.58
2026-05-09T16:04:25.210,13.22,75.6,274.74,416.02,13.71
2026-05-09T16:04:25.711,15.67,63.8,274.74,416.02,13.83
2026-05-09T16:04:26.212,13.88,72.1,274.74,416.02,13.95
2026-05-09T16:04:26.714,14.89,67.2,274.72,416.02,14.11
2026-05-09T16:04:27.216,13.80,72.5,274.72,416.02,14.25
2026-05-09T16:04:27.717,13.64,73.3,274.72,416.02,14.39
2026-05-09T16:04:28.211,13.09,76.4,274.72,416.02,14.54
2026-05-09T16:04:28.710,13.62,73.4,274.72,416.02,12.86
2026-05-09T16:04:29.211,14.00,71.4,274.72,416.02,12.94
2026-05-09T16:04:29.713,15.08,66.3,274.72,416.02,13.02
2026-05-09T16:04:30.215,14.53,68.8,274.72,416.02,13.11
2026-05-09T16:04:30.716,13.90,72.0,274.72,416.02,13.20
2026-05-09T16:04:31.215,13.77,72.6,274.72,416.02,13.30
2026-05-09T16:04:31.710,13.36,74.9,274.72,416.02,13.39
2026-05-09T16:04:32.211,14.71,68.0,274.72,416.02,13.48
2026-05-09T16:04:32.716,13.98,71.5,274.72,416.02,13.58
2026-05-09T16:04:33.217,13.41,74.6,274.72,416.02,13.71
2026-05-09T16:04:33.715,13.87,72.1,274.72,416.02,13.83
2026-05-09T16:04:34.212,13.98,71.5,274.73,416.02,13.96
2026-05-09T16:04:34.711,13.50,74.1,274.70,416.02,14.10
2026-05-09T16:04:35.212,14.97,66.8,274.70,416.02,14.23
2026-05-09T16:04:35.714,12.84,77.9,274.70,416.02,14.38
2026-05-09T16:04:36.216,14.43,69.3,274.70,416.02,14.52
2026-05-09T16:04:36.713,13.18,75.9,274.70,416.02,12.87
2026-05-09T16:04:37.213,12.70,78.8,274.70,416.02,12.93
2026-05-09T16:04:37.713,13.74,72.8,274.70,416.02,13.01
2026-05-09T16:04:38.217,14.34,69.7,274.70,416.02,13.09
2026-05-09T16:04:38.716,14.59,68.6,274.70,416.02,13.18
2026-05-09T16:04:39.212,13.68,73.1,274.70,416.02,13.27
2026-05-09T16:04:39.713,15.28,65.5,274.70,416.02,13.41
2026-05-09T16:04:40.217,14.78,67.7,274.70,416.02,13.50
2026-05-09T16:04:40.716,14.19,70.5,274.70,416.02,13.61
2026-05-09T16:04:41.211,13.42,74.5,274.70,416.02,13.71
2026-05-09T16:04:41.711,12.91,77.5,274.70,416.02,13.82
2026-05-09T16:04:42.210,13.50,74.1,274.70,416.02,13.94
2026-05-09T16:04:42.711,14.08,71.0,274.70,416.02,14.08
2026-05-09T16:04:43.212,14.69,68.1,274.70,416.02,14.23
2026-05-09T16:04:43.711,14.59,68.5,274.70,416.02,14.37
2026-05-09T16:04:44.212,13.55,73.8,274.70,416.02,14.50
2026-05-09T16:04:44.717,14.23,70.3,274.70,416.02,12.87
2026-05-09T16:04:45.216,14.04,71.2,274.72,416.02,12.94
2026-05-09T16:04:45.712,14.92,67.0,274.73,416.02,13.01
2026-05-09T16:04:46.211,14.30,69.9,274.73,416.02,13.09
2026-05-09T16:04:46.711,13.40,74.6,274.70,416.02,13.18
2026-05-09T16:04:47.211,13.83,72.3,274.70,416.02,13.27
2026-05-09T16:04:47.711,13.10,76.3,274.70,416.02,13.38
2026-05-09T16:04:48.212,13.92,71.8,274.70,416.02,13.49
2026-05-09T16:04:48.711,13.50,74.1,274.70,416.02,13.62
2026-05-09T16:04:49.212,14.53,68.8,274.70,416.02,13.74
2026-05-09T16:04:49.713,14.22,70.3,274.70,416.02,13.88
2026-05-09T16:04:50.215,13.80,72.5,274.70,416.02,14.00
2026-05-09T16:04:50.715,13.09,76.4,274.70,416.02,14.14
2026-05-09T16:04:51.217,13.73,72.8,274.70,416.02,14.29
2026-05-09T16:04:51.714,14.01,71.4,274.70,416.02,14.45
2026-05-09T16:04:52.211,12.96,77.2,274.70,416.02,12.88
2026-05-09T16:04:52.712,13.87,72.1,274.70,416.02,12.92
2026-05-09T16:04:53.212,13.32,75.1,274.70,416.02,12.99
2026-05-09T16:04:53.712,13.43,74.4,274.70,416.02,13.06
2026-05-09T16:04:54.212,13.37,74.8,274.70,416.02,13.15
2026-05-09T16:04:54.712,13.86,72.1,274.70,416.02,13.24
2026-05-09T16:04:55.211,12.96,77.1,274.70,416.02,13.33
